GRE,IELTS,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
317.0,,110.0,9.28,15.0,Fall 2020,usc,2
324.0,,105.0,8.31,0.0,Fall 2020,usc,2
316.0,,93.0,79.6,19.0,Fall 2020,usc,2
307.0,,96.0,9.43,60.0,Fall 2020,usc,2
325.0,,110.0,9.34,38.0,Fall 2020,usc,2
329.0,,109.0,9.38,0.0,Fall 2020,usc,2
314.0,,113.0,74.0,14.0,Fall 2020,usc,2
316.0,,107.0,9.22,26.0,Fall 2020,usc,2
320.0,,101.0,9.35,18.0,Fall 2020,usc,2
326.0,,118.0,9.37,0.0,Fall 2020,usc,2
321.0,,112.0,72.5,0.0,Fall 2020,usc,2
314.0,,104.0,8.86,45.0,Fall 2020,usc,2
323.0,,114.0,8.94,23.0,Fall 2020,usc,2
323.0,,106.0,8.93,12.0,Fall 2020,usc,2
333.0,,118.0,9.32,0.0,Fall 2020,usc,2
321.0,,107.0,9.23,22.0,Fall 2020,usc,2
315.0,,106.0,9.01,16.0,Fall 2020,usc,2
329.0,,114.0,9.5,2.0,Fall 2020,usc,2
314.0,,101.0,81.0,48.0,Fall 2020,usc,2
324.0,,111.0,9.12,24.0,Fall 2020,usc,2
311.0,,105.0,9.34,1.0,Fall 2020,usc,2
322.0,,113.0,9.14,28.0,Fall 2020,usc,2
314.0,,104.0,9.37,10.0,Fall 2020,usc,2
327.0,,115.0,9.18,21.0,Fall 2020,usc,2
316.0,,102.0,9.4,0.0,Fall 2020,usc,2
326.0,,114.0,95.0,0.0,Fall 2020,usc,2
333.0,,112.0,9.06,26.0,Fall 2020,usc,2
320.0,,107.0,8.99,6.0,Fall 2019,usc,2
326.0,,110.0,9.28,0.0,Fall 2020,usc,2
311.0,,114.0,80.0,30.0,Fall 2020,usc,2
327.0,,117.0,9.0,13.0,Fall 2020,usc,2
330.0,,112.0,9.93,2.0,Fall 2020,usc,2
322.0,,111.0,9.36,0.0,Fall 2020,usc,2
327.0,,114.0,9.02,3.0,Fall 2020,usc,2
328.0,,111.0,9.34,11.0,Fall 2020,usc,2
324.0,,105.0,8.75,20.0,Fall 2020,usc,2
319.0,,112.0,8.98,39.0,Fall 2020,usc,2
322.0,,102.0,9.13,17.0,Fall 2020,usc,2
323.0,,114.0,9.14,18.0,Fall 2020,usc,2
322.0,,110.0,8.8,5.0,Fall 2020,usc,2
325.0,,114.0,9.04,0.0,Fall 2020,usc,2
326.0,,108.0,9.3,18.0,Fall 2020,usc,2
319.0,,0.0,9.1,26.0,Fall 2019,usc,2
321.0,,115.0,8.94,16.0,Fall 2020,usc,2
328.0,,104.0,9.2,1.0,Fall 2020,usc,2
331.0,,111.0,9.0,13.0,Fall 2020,usc,2
323.0,,116.0,81.83,0.0,Fall 2020,usc,2
320.0,,114.0,8.76,22.0,Fall 2020,usc,2
315.0,,111.0,9.3,12.0,Fall 2020,usc,2
320.0,,0.0,9.4,23.0,Fall 2020,usc,2
332.0,,117.0,9.05,7.0,Fall 2020,usc,2
313.0,,94.0,9.44,18.0,Fall 2020,usc,2
318.0,,104.0,9.43,0.0,Fall 2020,usc,2
321.0,,102.0,9.43,18.0,Fall 2020,usc,2
319.0,,98.0,9.67,6.0,Fall 2020,usc,2
330.0,,109.0,9.19,14.0,Fall 2020,usc,2
321.0,,118.0,9.15,17.0,Fall 2020,usc,2
322.0,,113.0,9.5,3.0,Fall 2020,usc,2
319.0,,97.0,9.538,25.0,Fall 2020,usc,2
310.0,,96.0,9.24,12.0,Spring 2020,usc,2
322.0,,109.0,9.16,26.0,Fall 2020,usc,2
307.0,,101.0,85.0,40.0,Fall 2020,usc,2
320.0,,111.0,9.14,6.0,Fall 2020,usc,2
309.0,,98.0,9.11,10.0,Fall 2019,usc,2
318.0,,110.0,9.15,18.0,Fall 2020,usc,2
319.0,,112.0,9.61,15.0,Fall 2020,usc,2
317.0,,103.0,9.4,26.0,Fall 2020,usc,2
322.0,,110.0,9.57,7.0,Fall 2020,usc,2
311.0,,101.0,10.0,10.0,Fall 2020,usc,2
328.0,,116.0,9.3,23.0,Fall 2020,usc,2
321.0,,114.0,9.16,8.0,Fall 2020,usc,2
320.0,,102.0,9.22,0.0,Fall 2020,usc,2
312.0,,102.0,9.52,16.0,Spring 2020,usc,2
325.0,,105.0,9.5,38.0,Fall 2020,usc,2
319.0,,107.0,9.41,17.0,Fall 2020,usc,2
322.0,,112.0,9.73,6.0,Fall 2020,usc,2
311.0,,114.0,82.2,27.0,Fall 2020,usc,2
317.0,,106.0,80.23,24.0,Fall 2020,usc,2
310.0,,102.0,8.84,18.0,Spring 2020,usc,2
309.0,,0.0,9.37,36.0,Spring 2020,usc,2
320.0,,0.0,86.8,18.0,Spring 2020,usc,2
313.0,,107.0,8.66,8.0,Spring 2020,usc,2
306.0,6.5,,9.1,0.0,Spring 2020,usc,2
317.0,,104.0,83.0,20.0,Fall 2019,usc,2
312.0,,114.0,78.0,34.0,Spring 2020,usc,2
,,94.0,8.9,24.0,Spring 2020,usc,2
310.0,6.5,,9.15,7.0,Spring 2020,usc,2
305.0,,0.0,9.0,1.0,Spring 2020,usc,2
308.0,,96.0,8.85,18.0,Fall 2019,usc,2
312.0,,101.0,8.91,0.0,Spring 2020,usc,2
321.0,,102.0,89.0,37.0,Spring 2020,usc,2
324.0,,112.0,9.49,0.0,Spring 2020,usc,2
314.0,,115.0,82.0,0.0,Spring 2019,usc,2
306.0,,111.0,8.88,0.0,Spring 2020,usc,2
322.0,,115.0,78.0,15.0,Fall 2019,usc,2
312.0,,111.0,8.83,41.0,Spring 2020,usc,2
322.0,,115.0,77.42,0.0,Spring 2020,usc,2
315.0,,114.0,8.92,0.0,Spring 2020,usc,2
318.0,,104.0,9.38,17.0,Fall 2019,usc,2
318.0,,101.0,8.125,14.0,Fall 2019,usc,2
313.0,,106.0,8.83,0.0,Fall 2019,usc,2
308.0,,104.0,9.34,10.0,Fall 2019,usc,2
320.0,,107.0,78.69,29.0,Fall 2019,usc,2
312.0,,100.0,8.79,0.0,Fall 2019,usc,2
314.0,,109.0,9.07,15.0,Spring 2020,usc,2
316.0,,105.0,8.85,0.0,Spring 2020,usc,2
325.0,,114.0,89.52,1.0,Fall 2019,usc,2
315.0,,104.0,79.0,26.0,Fall 2018,usc,2
311.0,,96.0,8.99,48.0,Fall 2019,usc,2
311.0,,100.0,76.0,0.0,Fall 2019,usc,2
320.0,,106.0,8.82,0.0,Spring 2020,usc,2
305.0,6.5,,9.22,1.0,Fall 2019,usc,2
316.0,,107.0,8.93,0.0,Fall 2019,usc,2
328.0,8.0,,77.0,0.0,Fall 2019,usc,2
316.0,,106.0,78.0,10.0,Spring 2020,usc,2
315.0,,103.0,9.09,0.0,Fall 2019,usc,2
314.0,,108.0,9.31,17.0,Fall 2019,usc,2
320.0,,118.0,8.79,15.0,Fall 2019,usc,2
314.0,,106.0,9.43,10.0,Fall 2019,usc,2
312.0,,103.0,8.9,15.0,Fall 2019,usc,2
321.0,,95.0,8.94,18.0,Spring 2020,usc,2
308.0,,94.0,84.0,20.0,Fall 2019,usc,2
310.0,,102.0,80.0,22.0,Fall 2019,usc,2
320.0,,107.0,8.8,2.0,Fall 2019,usc,2
318.0,,117.0,9.16,0.0,Fall 2019,usc,2
