GRE,IELTS,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
313.0,,107.0,8.17,6.0,Spring 2019,neu,2
324.0,,114.0,71.0,54.0,Spring 2019,neu,2
317.0,,106.0,7.98,24.0,Spring 2019,neu,2
324.0,,106.0,7.49,26.0,Spring 2019,neu,2
306.0,,111.0,80.0,49.0,Spring 2019,neu,2
312.0,,104.0,79.9,24.0,Fall 2018,neu,2
314.0,,110.0,8.6,34.0,Spring 2019,neu,2
329.0,,110.0,8.47,3.0,Spring 2019,neu,2
311.0,,102.0,7.56,27.0,Spring 2019,neu,2
311.0,7.0,,64.0,0.0,Spring 2019,neu,2
317.0,,105.0,8.22,48.0,Spring 2019,neu,2
320.0,,108.0,66.0,15.0,Spring 2019,neu,2
310.0,7.0,,9.22,15.0,Spring 2019,neu,2
322.0,,115.0,67.9,22.0,Spring 2019,neu,2
306.0,,99.0,71.2,29.0,Spring 2019,neu,2
315.0,,102.0,7.35,31.0,Spring 2019,neu,2
319.0,,101.0,8.05,12.0,Spring 2019,neu,2
315.0,,107.0,8.56,0.0,Spring 2019,neu,2
310.0,7.0,,7.3,0.0,Fall 2019,neu,2
311.0,8.0,,8.34,43.0,Fall 2018,neu,2
315.0,,96.0,78.8,13.0,Fall 2019,neu,2
318.0,,102.0,8.92,38.0,Fall 2018,neu,2
323.0,,107.0,9.16,8.0,Fall 2018,neu,2
312.0,,99.0,8.25,13.0,Fall 2018,neu,2
315.0,,95.0,69.77,6.0,Fall 2018,neu,2
307.0,,104.0,72.4,11.0,Fall 2017,neu,2
326.0,,110.0,8.1,0.0,Fall 2018,neu,2
307.0,,107.0,8.51,6.0,Fall 2018,neu,2
324.0,,112.0,63.56,20.0,Fall 2018,neu,2
314.0,,100.0,8.6,17.0,Fall 2018,neu,2
316.0,,0.0,69.0,27.0,Fall 2018,neu,2
319.0,,0.0,8.58,1.0,Fall 2018,neu,2
318.0,,0.0,7.33,17.0,Fall 2018,neu,2
325.0,,110.0,8.76,2.0,Fall 2018,neu,2
314.0,,106.0,6.85,46.0,Fall 2018,neu,2
321.0,,111.0,76.0,24.0,Fall 2018,neu,2
328.0,,0.0,67.0,24.0,Fall 2018,neu,2
318.0,,112.0,78.0,2.0,Fall 2018,neu,2
325.0,,0.0,9.37,18.0,Fall 2018,neu,2
320.0,8.0,,7.0,12.0,Fall 2018,neu,2
319.0,,0.0,70.0,2.0,Fall 2018,neu,2
315.0,,108.0,7.96,17.0,Fall 2018,neu,2
314.0,,108.0,8.7,2.0,Fall 2018,neu,2
322.0,,107.0,8.2,15.0,Fall 2018,neu,2
315.0,,105.0,9.2,18.0,Fall 2018,neu,2
314.0,,105.0,8.5,41.0,Fall 2018,neu,2
,8.0,,9.1,22.0,Fall 2018,neu,2
320.0,,104.0,9.05,5.0,Fall 2018,neu,2
329.0,,116.0,9.1,10.0,Fall 2018,neu,2
312.0,,104.0,7.4,30.0,Fall 2018,neu,2
321.0,,105.0,80.0,39.0,Fall 2018,neu,2
329.0,,108.0,7.64,10.0,Fall 2018,neu,2
332.0,,115.0,8.8,22.0,Fall 2018,neu,2
329.0,,113.0,7.91,18.0,Spring 2019,neu,2
324.0,,120.0,9.38,2.0,Fall 2018,neu,2
317.0,,102.0,7.72,13.0,Fall 2018,neu,2
311.0,,107.0,8.95,24.0,Fall 2018,neu,2
330.0,,116.0,8.57,12.0,Fall 2018,neu,2
304.0,,105.0,8.01,31.0,Fall 2018,neu,2
320.0,,102.0,8.3,6.0,Fall 2018,neu,2
325.0,,113.0,6.9,12.0,Fall 2018,neu,2
319.0,,108.0,76.0,48.0,Fall 2018,neu,2
319.0,,112.0,8.54,4.0,Fall 2018,neu,2
326.0,,111.0,6.91,1.0,Fall 2018,neu,2
309.0,,105.0,8.3,0.0,Fall 2018,neu,2
320.0,,117.0,8.42,2.0,Fall 2018,neu,2
